Komunikat|ID|Kod|Miejscowość|Ulica|Nr domu|Nr mieszkania|Województwo|Powiat|Gmina
Błędna nazwa ulicy 'abp.Zygmunta Szcęsnego Felińsk'/'zygmunta szcesnego felinsk'|A1839496|31-236|KRAKÓW|abp.Zygmunta Szcęsnego Felińsk|17a|36|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Abpa Felińskiego'/'abpa felinskiego'|A1447567|31-236|KRAKÓW|Abpa Felińskiego|31|29|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Adamów Rosowski'/'adamow rosowski'|A1842624|05-650|CHYNÓW|Adamów Rosowski|18c||||
Błędna nazwa ulicy 'Agatówka, Ul. Lipowa'/'agatowka, ul. lipowa'|A1877962|37-464|STALOWA WOLA|Agatówka, Ul. Lipowa|10||||
Błędna nazwa ulicy 'al KEN'/'ken'|A1705383|02-777|WARSZAWA|al KEN|90|5|||
Błędna nazwa ulicy 'Al Prugara Ketlinga'/'prugara ketlinga'|A1415656|38-500|SANOK|Al Prugara Ketlinga|8|34|||
Błędna nazwa ulicy 'Al-1000 lecia'/'al-1000 lecia'|A1919939|32-300|Olkusz|Al-1000 lecia|15c|26|||
Błędna nazwa ulicy 'AL, Grunwaldzka'/'al, grunwaldzka'|A1626034|80-266|GDAŃSK|AL, Grunwaldzka|212||||
Błędna nazwa ulicy 'al, Pokoju'/'al, pokoju'|AP1246907|31-548|KRAKÓW|al, Pokoju|3||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Al, ZWYCIĘSTWA'/'al, zwyciestwa'|A1260792|42-420|DĄBROWA GÓRNICZA|Al, ZWYCIĘSTWA|79|218|ŚLĄSKIE|DĄBROWA GÓRNICZA|DĄBROWA GÓRNICZA
Błędna nazwa ulicy 'AL,SZUCHA'/'al,szucha'|A1243843|00-918|WARSZAWA|AL,SZUCHA|25||||
Błędna nazwa ulicy 'Al,Walentego Roździeńskiego'/'al,walentego rozdzienskiego'|A1795887|40-203|KATOWICE|Al,Walentego Roździeńskiego|188A||||
Błędna nazwa ulicy 'Al;.Jana Pawła II'/'al;. jana pawla ii'|A1968034|00-867|WARSZAWA|Al;.Jana Pawła II|17||||
Błędna nazwa ulicy 'al. 1000-lecia P.P.'/'1000-lecia p. p.'|A1325020|24-110|PUŁAWY|al. 1000-lecia P.P.|13||||
Błędna nazwa ulicy 'Al. 1000-lecia P.P.'/'1000-lecia p. p.'|A1937852|15-111|Białystok|Al. 1000-lecia P.P.|10A|15|||
Błędna nazwa ulicy 'Al. 3 Ma'/'3 ma'|A1401209|76-200|SŁUPSK|Al. 3 Ma|3|19/1|||
Błędna nazwa ulicy 'Al. Beliny Prażmowskiego'/'beliny prazmowskiego'|A1969561|31-514|KRAKÓW|Al. Beliny Prażmowskiego|68B||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Al. Beliny- Prażmowskiego'/'beliny- prazmowskiego'|A1415272|31-514|KRAKÓW|Al. Beliny- Prażmowskiego|11|17|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'al. Ducha Św.'/'ducha sw.'|A1312053|39-300|MIELEC|al. Ducha Św.|26|35|PODKARPACKIE|MIELECKI|MIELEC
Błędna nazwa ulicy 'AL. DUCHA ŚW.'/'ducha sw.'|A1368116|39-300|MIELEC|AL. DUCHA ŚW.|36|14|PODKARPACKIE||
Błędna nazwa ulicy 'al. inż. Leona Nowotarskiego'/'leona nowotarskiego'|A1816607|33-380|KRYNICA ZDRÓJ|al. inż. Leona Nowotarskiego|1 b||||
Błędna nazwa ulicy 'al. KEN'/'ken'|A1961881|02-797|Warszawa|al. KEN|47|232|||
Błędna nazwa ulicy 'Al. Ken'/'ken'|A1761860|02-797|WARSZAWA|Al. Ken|18|3B|||
Błędna nazwa ulicy 'Al. KEN'/'ken'|A1335534|02-797|WARSZAWA|Al. KEN|57|79|MAZOWIECKIE|WARSZAWA|URSYNÓW
Błędna nazwa ulicy 'AL. KEN'/'ken'|ZA1342008|02-797|WARSZAWA|AL. KEN|20A|15|MAZOWIECKIE|WARSZAWA|URSYNÓW
Błędna nazwa ulicy 'al. Marszałka Józefa Piłsudzki'/'jozefa pilsudzki'|A1988553|43-110|Tychy|al. Marszałka Józefa Piłsudzki|63A|22|||
Błędna nazwa ulicy 'Al. N.M.P.'/''|ZA1393991|42-200|CZĘSTOCHOWA|Al. N.M.P.|57|10|ŚLĄSKIE|CZĘSTOCHOWA|CZĘSTOCHOWA
Błędna nazwa ulicy 'Al. NMP'/'nmp'|A1381781|42-200|CZĘSTOCHOWA|Al. NMP|2||||
Błędna nazwa ulicy 'Al. Piłsudskego'/'pilsudskego'|A1369675|43-609|JAWORZNO|Al. Piłsudskego|62|3|||
Błędna nazwa ulicy 'al. prof.S. Kaliskiego'/'prof. s. kaliskiego'|A1892122|85-796|BYDGOSZCZ|al. prof.S. Kaliskiego|7||||
Błędna nazwa ulicy 'al. Prugara-Ketlinga'/'prugara-ketlinga'|A1988516|38-500|Sanok|al. Prugara-Ketlinga|16|23|||
Błędna nazwa ulicy 'Al. Prugara-Ketlinga'/'prugara-ketlinga'|A1413566|38-500|SANOK|Al. Prugara-Ketlinga|8|34|||
Błędna nazwa ulicy 'AL. RACŁAWICKIE'/'raclawickie'|A1717803|20-043|LUBLIN|AL. RACŁAWICKIE|40|10|LUBELSKIE|LUBLIN|LUBLIN
Błędna nazwa ulicy 'al. Tysiąclecia Państwa Polski'/'tysiaclecia panstwa polski'|A1430188|25-314|KIELCE|al. Tysiąclecia Państwa Polski|7B||||
Błędna nazwa ulicy 'al. Żołnierzy I Armii Wojska P'/'zolnierzy i armii wojska p'|A1940290|22-100|Chełm|al. Żołnierzy I Armii Wojska P|19|101|||
Błędna nazwa ulicy 'Al.. Ducha Św,'/'ducha sw,'|A1348773|39-300|MIELEC|Al.. Ducha Św,|25|15|||
Błędna nazwa ulicy 'Al.. Ducha Św.'/'ducha sw.'|A1348770|39-300|MIELEC|Al.. Ducha Św.|38|3|||
Błędna nazwa ulicy 'Al.1000-lecia P.P.'/'1000-lecia p. p.'|A1208046|24-110|PUŁAWY|Al.1000-lecia P.P.|13||||
Błędna nazwa ulicy 'Al.1000-lecia P.P.'/'1000-lecia p. p.'|A1376367|25-314|KIELCE|Al.1000-lecia P.P.|7||||
Błędna nazwa ulicy 'Al.1000-lecia P.P.'/'1000-lecia p. p.'|A1425617|24-110|PUŁAWY|Al.1000-lecia P.P.|13||LUBELSKIE||
Błędna nazwa ulicy 'al.1000-lecia Państwa Polskieg'/'1000-lecia panstwa polskieg'|A011269|24-110|PUŁAWY|al.1000-lecia Państwa Polskieg|13a||||
Błędna nazwa ulicy 'al.500-le'/'500-le'|A1375619|87-100|TORUŃ|al.500-le|00-l31||||
Błędna nazwa ulicy 'al.A.Krajowej'/'krajowej'|A1404182|21-040|ŚWIDNIK|al.A.Krajowej|31|1|||
Błędna nazwa ulicy 'al.A.Krajowej'/'krajowej'|A1363955|42-201|CZĘSTOCHOWA|al.A.Krajowej 19|||||
Błędna nazwa ulicy 'Al.A.Krajowej'/'krajowej'|A1245485|42-200|CZĘSTOCHOWA|Al.A.Krajowej|19||||
Błędna nazwa ulicy 'Al.Armii Kr.'/'armii kr.'|A1275196|38-500|SANOK|Al.Armii Kr.|13|14|PODKARPACKIE|SANOCKI|SANOK
Błędna nazwa ulicy 'Al.Beliny Prażmomowskiego'/'beliny prazmomowskiego'|A1808489|31-514|KRAKÓW|Al.Beliny Prażmomowskiego|13A|2|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'al.Beliny Prażmowskiego'/'beliny prazmowskiego'|A1681776|31-514|KRAKÓW|al.Beliny Prażmowskiego|11a|13|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'al.Beliny Prażmowskiego'/'beliny prazmowskiego'|A1902965|31-514|KRAKÓW|al.Beliny Prażmowskiego|41|2|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Al.Beliny Prażmowskiego'/'beliny prazmowskiego'|A1277673|31-514|KRAKÓW|Al.Beliny Prażmowskiego|34|2|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Al.Beliny Prażmowskiego'/'beliny prazmowskiego'|A1310218||KRAKÓW|Al.Beliny Prażmowskiego|57|7|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Al.Beliny Prażmowskiego'/'beliny prazmowskiego'|A1877023|31-514|KRAKÓW|Al.Beliny Prażmowskiego|14||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'al.Bojown.o Woln.i Demokracje'/'bojown. woln. i demokracje'|A1644871|41-506|CHORZÓW|al.Bojown.o Woln.i Demokracje|38||||
Błędna nazwa ulicy 'al.Ducha Św.'/'ducha sw.'|A1863349|39-300|MIELEC|al.Ducha Św.|26|33|||
Błędna nazwa ulicy 'Al.Ducha Św.'/'ducha sw.'|A1353364|39-300|MIELEC|Al.Ducha Św.|17|46|||
Błędna nazwa ulicy 'Al.Ducha Św.'/'ducha sw.'|A1419956|39-300|MIELEC|Al.Ducha Św.|4|9|||
Błędna nazwa ulicy 'Al.Ducha Św.'/'ducha sw.'|A1647369|39-300|MIELEC|Al.Ducha Św.|25|4|PODKARPACKIE|MIELECKI|MIELEC
Błędna nazwa ulicy 'Al.Gen.B.Prugara-Ketlinga'/'prugara-ketlinga'|A1633187|38-500|SANOK|Al.Gen.B.Prugara-Ketlinga|6|26|||
Błędna nazwa ulicy 'AL.GHEN.W.Sikorskiego'/'ghen. w. sikorskiego'|AŁ1723190|02-758|WARSZAWA|AL.GHEN.W.Sikorskiego|9||||
Błędna nazwa ulicy 'AL.Gwoźnica Dolna'/'gwoznica dolna'|A1853126|38-116|Gwoźnica Górna|AL.Gwoźnica Dolna|54|a|||
Błędna nazwa ulicy 'Al.J.Pawła II'/'pawla ii'|A1218729||STALOWA WOLA|Al.J.Pawła II|1|151|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Al.J.Pawła II'/'pawla ii'|A1257380|37-450|STALOWA WOLA|Al.J.Pawła II|9|32|PODKARPACKIE|STALOWOWOLSKI|STALOWA WOLA
Błędna nazwa ulicy 'Al.J.Pawła II'/'pawla ii'|A1655871|37-450|STALOWA WOLA|Al.J.Pawła II|4|114|||
Błędna nazwa ulicy 'Al.J.Pawła II'/'pawla ii'|A1676386|31-571|KRAKÓW|Al.J.Pawła II|12||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'AL.J.Pawła II'/'pawla ii'|A1219862||STALOWA WOLA|AL.J.Pawła II|9|12|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'AL.J.Pawła II'/'pawla ii'|A1220191||STALOWA WOLA|AL.J.Pawła II|38|18|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Al.J.Piułsudskiego'/'piulsudskiego'|A1426858|41-303|DĄBROWA GÓRNICZA|Al.J.Piułsudskiego|36|44|ŚLĄSKIE|DĄBROWA GÓRNICZA|DĄBROWA GÓRNICZA
Błędna nazwa ulicy 'al.Jana Pawła II nr'/'jana pawla ii nr'|A1475901|00-950|WARSZAWA|al.Jana Pawła II nr 12|||||
Błędna nazwa ulicy 'Al.Jana PwałII'/'jana pwalii'|A1966193|32-566|REGULICE|Al.Jana PwałII|16||||
Błędna nazwa ulicy 'al.JP II'/'jp ii'|A1950250|31-982|KRAKÓW|al.JP II|154||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Al.KEN'/'ken'|A1450025|02-777|WARSZAWA|Al.KEN|86|12|||
Błędna nazwa ulicy 'Al.Komisji Edukacji Narod.'/'komisji edukacji narod.'|A1752023|02-777|WARSZAWA|Al.Komisji Edukacji Narod.|96|U-15|||
Błędna nazwa ulicy 'Al.krakowska, Grzędy'/'krakowska, grzedy'|A1887887|05-555|TARCZYN|Al.krakowska, Grzędy|36||||
Błędna nazwa ulicy 'Al.Krasińskiego Zygmunta'/'krasinskiego zygmunta'|A1302974|31-111|KRAKÓW|Al.Krasińskiego Zygmunta|17|1A|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Al.Marsz.F.Focha'/'marsz. f. focha'|A1626829|30-111|KRAKÓW|Al.Marsz.F.Focha|25|2|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Al.Marsz.Piłsudskiego'/'marsz. pilsudskiego'|A1825150|43-100|TYCHY|Al.Marsz.Piłsudskiego|28|25|||
Błędna nazwa ulicy 'al.Mickiewicza 30 paw.B4'/'mickiewicza 30 paw. b4'|A1251714|30-059|KRAKÓW|al.Mickiewicza 30 paw.B4|p.16||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'AL.MNP'/'mnp'|A1383827|42-200|CZĘSTOCHOWA|AL.MNP|43||||
Błędna nazwa ulicy 'Al.N.M.P'/'p'|A1213237|42-200|CZĘSTOCHOWA|Al.N.M.P|8|65|||
Błędna nazwa ulicy 'al.NMP'/'nmp'|A1477059|42-200|CZĘSTOCHOWA|al.NMP 19|||||
Błędna nazwa ulicy 'Al.NMP'/'nmp'|A1455120|42-200|CZĘSTOCHOWA|Al.NMP|4||||
Błędna nazwa ulicy 'Al.NMP'/'nmp'|A1769924|42-200|CZĘSTOCHOWA|Al.NMP|32|9|||
Błędna nazwa ulicy 'Al.NMP'/'nmp'|A1792157|42-202|CZĘSTOCHOWA|Al.NMP|24|8|||
Błędna nazwa ulicy 'Al.Planu 6-letniego'/'planu'|A1731411|85-806|BYDGOSZCZ|Al.Planu 6-letniego|33|34|||
Błędna nazwa ulicy 'al.Powst.Warszawskiego'/'powst. warszawskiego'|A1912723|31-539|KRAKÓW|al.Powst.Warszawskiego|15||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'al.Powst.Warszawskiego'/'powst. warszawskiego'|A1928824|31-539|KRAKÓW|al.Powst.Warszawskiego|15||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Al.Powstania Wlkp.'/'powstania wlkp.'|A1206033|64-920|PIŁA|Al.Powstania Wlkp.|18||||
Błędna nazwa ulicy 'al.Powstańców Wielkop.'/'powstancow wielkop.'|A1243976|64-920|PIŁA|al.Powstańców Wielkop.|18||||
Błędna nazwa ulicy 'Al.Powstańców Wlkp'/'powstancow wlkp'|A1623540|64-920|PIŁA|Al.Powstańców Wlkp|14|1|WIELKOPOLSKIE|PILSKI|PIŁA
Błędna nazwa ulicy 'Al.Prezydenta I.Mościckiego'/'prezydenta i. moscickiego'|A1739402|97-215|SPAŁA|Al.Prezydenta I.Mościckiego|6||||
Błędna nazwa ulicy 'Al.prof. S. Kaliskiego'/'prof. s. kaliskiego'|A10882|85-796|BYDGOSZCZ|Al.prof. S. Kaliskiego|7||||
Błędna nazwa ulicy 'Al.Prof.Krzyżanowskiego'/'prof. krzyzanowskiego'|ZA1333563|35-329|RZESZÓW|Al.Prof.Krzyżanowskiego|26|36|PODKARPACKIE|RZESZÓW|RZESZÓW
Błędna nazwa ulicy 'AL.Przewodników Pracy'/'przewodnikow pracy'|A1225991|41-100|SIEMIANOWICE ŚLĄSKIE|AL.Przewodników Pracy|1||||
Błędna nazwa ulicy 'al.Racławickie'/'raclawickie'|A1299459|20-950|LUBLIN|al.Racławickie|14||||
Błędna nazwa ulicy 'al.Racławickie'/'raclawickie'|A1961908|20-037|Lublin|al.Racławickie|24|68|||
Błędna nazwa ulicy 'Al.Racławickie'/'raclawickie'|A1482176|20-950|LUBLIN|Al.Racławickie|14||||
Błędna nazwa ulicy 'Al.Racławickie'/'raclawickie'|A1607132|20-037|LUBLIN|Al.Racławickie|12||||
Błędna nazwa ulicy 'Al.Racławickie'/'raclawickie'|A1624166|20-059|LUBLIN|Al.Racławickie|1||||
Błędna nazwa ulicy 'Al.Racławickie'/'raclawickie'|A21624166|20-059|LUBLIN|Al.Racławickie|1||||
Błędna nazwa ulicy 'Al.Racławickie'/'raclawickie'|A1797606|20-037|LUBLIN|Al.Racławickie 12|||||
Błędna nazwa ulicy 'AL.SOLODARNOŚCI'/'solodarnosci'|A1926187|00-898|WARSZAWA|AL.SOLODARNOŚCI|147|33|||
Błędna nazwa ulicy 'Al.Spółdziel.Pracy'/'spoldziel. pracy'|A1621127|20-147|LUBLIN|Al.Spółdziel.Pracy|47||||
Błędna nazwa ulicy 'Al.St.Zjednoczonych'/'zjednoczonych'|A1233829|04-036|WARSZAWA|Al.St.Zjednoczonych|46|24|||
Błędna nazwa ulicy 'Al.St.Zjednoczonych'/'zjednoczonych'|A1610068|04-028|WARSZAWA|Al.St.Zjednoczonych|61A||||
Błędna nazwa ulicy 'al.Tysiaclecia Państwa Polsk.'/'tysiaclecia panstwa polsk.'|AB11551|25-314|KIELCE|al.Tysiaclecia Państwa Polsk.|7||||
Błędna nazwa ulicy 'al.Tysiąclecia P.P.'/'tysiaclecia p. p.'|A1444263|25-314|KIELCE|al.Tysiąclecia P.P.|7||||
Błędna nazwa ulicy 'Al.Tysiąclecia P.P.'/'tysiaclecia p. p.'|A1482087|24-110|PUŁAWY|Al.Tysiąclecia P.P.|13||||
Błędna nazwa ulicy 'Al.Tysiąclecia P.P.'/'tysiaclecia p. p.'|A1726659|24-110|PUŁAWY|Al.Tysiąclecia P.P.|13||||
Błędna nazwa ulicy 'al.Tysiąclecia Państwa Pol.'/'tysiaclecia panstwa pol.'|A1838842|15-111|BIAŁYSTOK|al.Tysiąclecia Państwa Pol.|14||||
Błędna nazwa ulicy 'Al.Żołnierzy I A.W.P'/'zolnierzy i a. w. p'|A1849496|35-301|RZESZÓW|Al.Żołnierzy I A.W.P|20||||
Błędna nazwa ulicy 'Al/Pokoju'/'al/pokoju'|A1358614|31-564|KRAKÓW|Al/Pokoju|78||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'AL> A.Mickiewicza'/'al> a. mickiewicza'|A1647422|30-059|KRAKÓW|AL> A.Mickiewicza|30||||
Błędna nazwa ulicy 'Alej Jana Pawła II'/'alej jana pawla ii'|A1618494|31-571|KRAKÓW|Alej Jana Pawła II|80||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Aleja 3 Ma'/'3 ma'|A1359129|30-062|KRAKÓW|Aleja 3 Ma|3|9|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Aleja Bohaterów Charkowa'/'bohaterow charkowa'|A1987075||Charków|Aleja Bohaterów Charkowa|212|11|||
Błędna nazwa ulicy 'Aleja Komisji Eduk.Narod.'/'komisji eduk. narod.'|A1447996|02-722|WARSZAWA|Aleja Komisji Eduk.Narod.|21|36|||
Błędna nazwa ulicy 'Aleja'/''|A1641414|62-650|Kłodawa|Aleja|1-go|6A|||
Błędna nazwa ulicy 'Aleja600-Lecia'/'aleja600-lecia'|A1867724|62-540|KLECZEW|Aleja600-Lecia|36||||
Błędna nazwa ulicy 'Aleje 29 Listopada'/'aleje 29 listopada'|A1212185|31-425|KRAKÓW|Aleje 29 Listopada|41A|21|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Aleje 29 Listopada'/'aleje 29 listopada'|A1892940|31-482|KRAKÓW|Aleje 29 Listopada|41B|4|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Aleje I Aleje Wojska Polskiego'/'aleje i aleje wojska polskiego'|A1848292|78-100|KOŁOBRZEG|Aleje I Aleje Wojska Polskiego|8|25|||
Błędna nazwa ulicy 'Aleje Krasińskiego'/'aleje krasinskiego'|A1954448|30-101|KRAKÓW|Aleje Krasińskiego|30|22|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Aleje Krasińskiego'/'aleje krasinskiego'|A1321493||KRAKÓW|Aleje Krasińskiego|11b||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Aleje Legionów'/'aleje legionow'|A1824384|25-035|KIELCE|Aleje Legionów|3|5|||
Błędna nazwa ulicy 'Aleje Majora Sucharskiego'/'aleje sucharskiego'|A1466848|33-300|NOWY SĄCZ|Aleje Majora Sucharskiego|13|21|||
Błędna nazwa ulicy 'Aleje Mickewicza'/'aleje mickewicza'|A1886957|30-059|KRAKÓW|Aleje Mickewicza|30||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Aleje Pokoju'/'aleje pokoju'|T1667115|31-564|KRAKÓW|Aleje Pokoju|52A|14|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Aleje Pokoju'/'aleje pokoju'|TU1667115|31-564|KRAKÓW|Aleje Pokoju|52A|14|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Aleje Pokoju'/'aleje pokoju'|A1785889|31-548|KRAKÓW|Aleje Pokoju|5||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Aleje Sienkiewicza'/'aleje sienkiewicza'|A1423023|99-400|ŁOWICZ|Aleje Sienkiewicza|44||||
Błędna nazwa ulicy 'Aleje Słowackiego'/'aleje slowackiego'|T1686313|31-159|KRAKÓW|Aleje Słowackiego|13B|81|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Alekdandrów'/'alekdandrow'|A1377960|23-408|ALEKSANDRÓW|Alekdandrów|619||||
Błędna nazwa ulicy 'Aleksandra T. Lenart'/'aleksandra t. lenart'|A1666107|07-417|Ostrołęka|Aleksandra T. Lenart|10||||
Błędna nazwa ulicy 'Aleksandrów Drugi'/'aleksandrow drugi'|A1873046|23-408|Aleksandrów|Aleksandrów Drugi|379||||
Błędna nazwa ulicy 'Alja Śliwowa'/'alja sliwowa'|A1424606|54-106|WROCŁAW|Alja Śliwowa|16|10|||
Błędna nazwa ulicy 'Am Wasserpark'/'am wasserpark'|A1478186||FRANKFURT|Am Wasserpark|16||||
Błędna nazwa ulicy 'Anningerstr'/'anningerstr'|A1602089||MOEDLING|Anningerstr|31/2/4||||
Błędna nazwa ulicy 'Anningerstr'/'anningerstr'|ZA1602089||MOEDLING|Anningerstr|31/2/4||||
Błędna nazwa ulicy 'Anonima Galla'/'anonima galla'|A1804550|43-600|Jaworzno|Anonima Galla|9||||
Błędna nazwa ulicy 'Antiocheias'/'antiocheias'|A1713211|11-251|Ateny|Antiocheias|15||||
Błędna nazwa ulicy 'Antoniego Corzzziego'/'antoniego corzzziego'|A1344575|00-087|WARSZAWA|Antoniego Corzzziego|4||||
Błędna nazwa ulicy 'Ar.Krajowej'/'krajowej'|A1303783|30-150|KRAKÓW|Ar.Krajowej|7|99|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Arc.Z.Szczęsnego Felińskiego'/'szczesnego felinskiego'|A1860251||KRAKÓW|Arc.Z.Szczęsnego Felińskiego|30|20|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Archypenko Str.'/'archypenko str.'|A1987928||Lviv|Archypenko Str.|32|7|||
Błędna nazwa ulicy 'arcyb.Felińskiego'/'arcyb. felinskiego'|A1338836|31-236|KRAKÓW|arcyb.Felińskiego|31|34|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Arcybiskupa Felińsk'/'felinsk'|A1711358|31-236|Kraków|Arcybiskupa Felińsk|22|30|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'Arłamów'/'arlamow'|A1927182|38-700|USTRZYKI DOLNE|Arłamów|1||||
Błędna nazwa ulicy 'Arturo Soria'/'arturo soria'|A1657727||Madrid|Arturo Soria|344|7A|||
Błędna nazwa ulicy 'Asrtronautów'/'asrtronautow'|A1259890|41-500|CHORZÓW|Asrtronautów|14|43|ŚLĄSKIE|CHORZÓW|CHORZÓW
Błędna nazwa ulicy 'Atamanowa'/'atamanowa'|A1712305|22-400|Zamość|Atamanowa|18||||
Błędna nazwa ulicy 'Atamanowa'/'atamanowa'|A1855336|22-400|Zamość|Atamanowa|11||||
Błędna nazwa ulicy 'Auana'/'auana'|A1373594|27-400|OSTROWIEC ŚWIETOKRZYSKI|Auana|8||||
Błędna nazwa ulicy 'Av.Diagonal'/'diagonal'|A1819918||BARCELONA|Av.Diagonal|647||||
Błędna nazwa ulicy 'Avenida Italia'/'avenida italia'|A1989813||Bávaro-Punta Cana|Avenida Italia|G|101|||
Błędna nazwa ulicy 'Avenida Italia'/'avenida italia'|A1989814||Bávaro-Punta Cana|Avenida Italia|G|101|||
Błędna nazwa ulicy 'avenue one'/'avenue one'|A1346487||ANGLIA|avenue one|31A||||
Błędna nazwa ulicy 'AWP'/'awp'|A1283026|44-240|ŻORY|AWP|47||ŚLĄSKIE|ŻORY|ŻORY
Błędna nazwa ulicy 'B-1'/'b-1'|A2359|32-086|WĘGRZCE|B-1|2|1|MAŁOPOLSKIE|KRAKOWSKI|ZIELONKI
Błędna nazwa ulicy 'B-3'/'b-3'|A1271480|32-086|WĘGRZCE|B-3|1||||
Błędna nazwa ulicy 'B. CHłopskich'/'chlopskich'|A1294018|32-300|OLKUSZ|B. CHłopskich|2|31|||
Błędna nazwa ulicy 'B. Crobrego'/'crobrego'|A1735688|37-600|Lubaczow|B. Crobrego|18||||
Błędna nazwa ulicy 'B. Śmiałego'/'smialego'|A1413622|43-200|PSZCZYNA|B. Śmiałego|17|8|||
Błędna nazwa ulicy 'B. Śmiałego'/'smialego'|A1915739|43-300|Bielsko-Biała|B. Śmiałego|28a||||
Błędna nazwa ulicy 'B. Września'/'wrzesnia'|A1311251|31-621|KRAKÓW|B. Września|36|32|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy 'B.Cherobrego'/'cherobrego'|A1261182|40-881|KATOWICE|B.Cherobrego|38|132|ŚLĄSKIE|KATOWICE|KATOWICE
Błędna nazwa ulicy 'B.Chłopskich'/'chlopskich'|A1294165|33-300|NOWY SĄCZ|B.Chłopskich|20|12|||
Błędna nazwa ulicy 'B.Crobrego'/'crobrego'|A1602685|33-350|PIWNICZNA ZDRÓJ|B.Crobrego|11||||
Błędna nazwa ulicy 'B.Łaszczyńskiego Warszawska'/'laszczynskiego warszawska'|A1306248|05-082|STARE BIBICE|B.Łaszczyńskiego Warszawska|25||||
Błędna nazwa ulicy 'B.Śmiałego'/'smialego'|A1623611|60-682|POZNAŃ|B.Śmiałego|2|108|||
Błędna nazwa ulicy 'B.Śmiałego'/'smialego'|A1640466|60-682|POZNAŃ|B.Śmiałego|18|2|WIELKOPOLSKIE|POZNAŃ|POZNAŃ
Błędna nazwa ulicy 'B.Śmiałego'/'smialego'|A1679153|60-682|POZNAŃ|B.Śmiałego|31|12|||
Błędna nazwa ulicy 'B.Śmiałego'/'smialego'|A1740965|63-500|OSTRZESZÓW|B.Śmiałego|10||||
Błędna nazwa ulicy 'Babin'/'babin'|A1261107|32-555|ZAGÓRZE|Babin|443||MAŁOPOLSKIE|CHRZANOWSKI|CHRZANÓW
Błędna nazwa ulicy 'bac linh dam, dai ki'/'bac linh dam, dai ki'|A1734775||Hoang Mai, Ha Noi|bac linh dam, dai ki|b4 tt3||||
